First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Douglas,Male,08/06/1993,12:42 PM,97308,6.945,TRUE,Marketing
Maria,Female,4/23/1993,11:17 AM,130590,11.858,FALSE,Finance
Jerry,Male,03/04/2005,1:00 PM,138705,9.34,TRUE,Finance
Larry,Male,1/24/1998,4:47 PM,101004,1.389,TRUE,Client Services
Dennis,Male,4/18/1987,1:35 AM,115163,10.125,FALSE,Legal
Ruby,Female,8/17/1987,4:20 PM,65476,10.012,TRUE,Product
Angela,Female,11/22/2005,6:29 AM,95570,18.523,TRUE,Engineering
Frances,Female,08/08/2002,6:51 AM,139852,7.524,TRUE,Business Development
Julie,Female,10/26/1997,3:19 PM,102508,12.637,TRUE,Legal
Brandon,Male,12/01/1980,1:08 AM,112807,17.492,TRUE,Human Resources
Gary,Male,1/27/2008,11:40 PM,109831,5.831,FALSE,Sales
Kimberly,Female,1/14/1999,7:13 AM,41426,14.543,TRUE,Finance
Lillian,Female,06/05/2016,6:09 AM,59414,1.256,FALSE,Product
Jeremy,Male,9/21/2010,5:56 AM,90370,7.369,FALSE,Human Resources
Shawn,Male,12/07/1986,7:45 PM,111737,6.414,FALSE,Product
Diana,Female,10/23/1981,10:27 AM,132940,19.082,FALSE,Client Services
Donna,Female,7/22/2010,3:48 AM,81014,1.894,FALSE,Product
Matthew,Male,09/05/1995,2:12 AM,100612,13.645,FALSE,Marketing
John,Male,07/01/1992,10:08 PM,97950,13.873,FALSE,Client Services
Craig,Male,2/27/2000,7:45 AM,37598,7.757,TRUE,Marketing
Terry,Male,11/27/1981,6:30 PM,124008,13.464,TRUE,Client Services
Benjamin,Male,1/26/2005,10:06 PM,79529,7.008,TRUE,Legal
Christina,Female,08/06/2002,1:19 PM,118780,9.096,TRUE,Engineering
Jean,Female,12/18/1993,9:07 AM,119082,16.18,FALSE,Business Development
Jerry,Male,01/10/2004,12:56 PM,95734,19.096,FALSE,Client Services
Theresa,Female,10/10/2006,1:12 AM,85182,16.675,FALSE,Sales
Rachel,Female,2/16/2009,8:47 PM,142032,12.599,FALSE,Business Development
Linda,Female,10/19/1981,8:49 PM,57427,9.557,TRUE,Client Services
Stephanie,Female,9/13/1986,1:52 AM,36844,5.574,TRUE,Business Development
Michael,Male,10/10/2008,11:25 AM,99283,2.665,TRUE,Distribution
Beverly,Female,09/09/1998,8:26 PM,121918,15.835,FALSE,Legal
Marilyn,Female,12/07/1980,3:16 AM,73524,5.207,TRUE,Marketing
Cynthia,Female,11/16/1988,6:54 PM,145146,7.482,TRUE,Product
Roger,Male,4/17/1980,11:32 AM,88010,13.886,TRUE,Sales
Bruce,Male,11/28/2009,10:47 PM,114796,6.796,FALSE,Finance
Kathy,Female,6/22/2005,4:51 AM,66820,9,TRUE,Client Services
Clarence,Male,3/26/1996,5:57 AM,93581,6.083,TRUE,Business Development
Nancy,Female,9/23/2000,8:05 AM,94976,13.83,TRUE,Engineering
Todd,Male,2/18/1990,2:41 AM,49339,1.695,TRUE,Human Resources
Sara,Female,8/15/2007,9:23 AM,83677,8.999,FALSE,Engineering
Karen,Female,11/30/1999,7:46 AM,102488,17.653,TRUE,Product
Carl,Male,05/03/2006,5:55 PM,130276,16.084,TRUE,Finance
Henry,Male,6/26/1996,1:44 AM,64715,15.107,TRUE,Human Resources
Theresa,Female,04/11/2010,7:18 AM,72670,1.481,TRUE,Engineering
Irene,Female,05/07/1997,9:32 AM,66851,11.279,FALSE,Engineering
Denise,Female,11/06/2001,12:03 PM,106862,3.699,FALSE,Business Development
Matthew,Male,01/02/2013,10:33 PM,35203,18.04,FALSE,Human Resources
Steve,Male,11/11/2009,11:44 PM,61310,12.428,TRUE,Distribution
Nancy,Female,12/15/2012,11:57 PM,125250,2.672,TRUE,Business Development
Rachel,Female,8/16/1999,6:53 AM,51178,9.735,TRUE,Finance
Jose,Male,10/30/2004,1:39 PM,84834,14.33,TRUE,Finance
Johnny,Male,11/06/2009,4:23 PM,118172,16.194,TRUE,Sales
Bobby,Male,05/07/2007,10:01 AM,54043,3.833,FALSE,Product
Frances,Female,04/04/1999,4:19 PM,90582,4.709,TRUE,Sales
Thomas,Male,06/04/1995,2:24 PM,62096,17.029,FALSE,Marketing
Bonnie,Female,07/02/1991,1:27 AM,104897,5.118,TRUE,Human Resources
Margaret,Female,09/10/1988,12:42 PM,131604,7.353,TRUE,Distribution
Charles,Male,9/14/2004,8:13 PM,107391,1.26,TRUE,Marketing
Robin,Female,06/04/1983,3:15 PM,114797,5.965,TRUE,Sales
Bonnie,Female,11/13/1988,3:30 PM,115814,4.99,FALSE,Product
Christopher,Male,3/30/2008,10:52 AM,47369,14.822,FALSE,Legal
Steven,Male,3/30/1980,9:20 PM,35095,8.379,TRUE,Client Services
Shawn,Male,9/23/2005,2:55 AM,148115,6.539,TRUE,Finance
Doris,Female,8/20/2004,5:51 AM,83072,7.511,FALSE,Finance
Jeremy,Male,02/01/2008,8:50 AM,100238,3.887,TRUE,Client Services
Annie,Female,1/30/1993,2:05 AM,144887,8.276,TRUE,Sales
Donna,Female,11/27/1991,1:59 PM,64088,6.155,TRUE,Legal
Janice,Female,03/12/2016,12:40 AM,51082,11.955,FALSE,Legal
Linda,Female,5/25/2000,5:45 PM,119009,12.506,TRUE,Business Development
Harry,Male,8/26/1981,3:16 PM,130620,7.03,FALSE,Legal
Heather,Female,07/11/1998,2:17 PM,43026,14.166,FALSE,Client Services
Cynthia,Female,3/21/1994,8:34 AM,142321,1.737,FALSE,Finance
Tina,Female,6/16/2016,7:47 PM,100705,16.961,TRUE,Marketing
Harold,Male,01/02/1985,9:40 PM,77544,12.447,FALSE,Business Development
Melissa,Female,6/21/2005,6:33 AM,48109,14.995,FALSE,Finance
Aaron,Male,2/17/2012,10:20 AM,61602,11.849,TRUE,Marketing
Jack,Male,01/12/1997,5:51 AM,103902,12.159,FALSE,Client Services
Phyllis,Female,10/11/1996,9:30 PM,136984,8.932,TRUE,Finance
John,Male,12/23/1989,7:01 AM,80740,19.305,FALSE,Marketing
Kathy,Female,03/09/1996,4:33 AM,91712,8.567,FALSE,Finance
Paul,Male,08/04/1993,7:25 PM,42146,3.046,FALSE,Legal
Steven,Male,4/23/2013,10:12 PM,68680,16.565,FALSE,Legal
Shirley,Female,6/20/2001,10:39 PM,147113,16.135,FALSE,Legal
Bonnie,Female,12/17/1999,3:12 PM,42153,8.454,TRUE,Business Development
Willie,Male,11/27/2003,6:21 AM,64363,4.023,FALSE,Marketing
Tina,Female,06/12/2009,7:16 AM,114767,3.711,TRUE,Engineering
Ashley,Female,08/04/2002,11:00 AM,58698,6.811,TRUE,Business Development
Pamela,Female,07/01/1982,6:51 AM,54585,4.166,FALSE,Product
Steven,Male,03/01/1995,3:03 PM,109095,9.494,FALSE,Finance
Andrea,Female,01/12/2012,5:43 AM,120204,9.557,FALSE,Business Development
Paul,Male,06/03/2008,3:05 PM,41054,12.299,FALSE,Marketing
Peter,Male,11/17/1994,6:15 PM,84885,15.402,FALSE,Business Development
Christina,Female,4/13/2012,2:04 PM,110169,13.892,TRUE,Engineering
Helen,Female,11/29/2001,2:30 AM,73789,14.841,TRUE,Product
Marilyn,Female,11/16/1983,8:29 AM,76078,2.401,TRUE,Product
Patricia,Female,09/01/2003,6:46 AM,49368,14.226,FALSE,Human Resources
Michelle,Female,3/30/1984,6:43 PM,57325,17.179,TRUE,Human Resources
William,Male,9/29/2002,4:09 PM,66521,5.83,FALSE,Human Resources
Kenneth,Male,8/25/1987,9:16 PM,127654,16.439,TRUE,Client Services
Antonio,Male,10/25/1988,1:50 PM,60866,13.101,TRUE,Business Development
Shirley,Female,05/01/1984,1:15 PM,41334,6.219,TRUE,Human Resources
Rebecca,Female,07/10/1992,12:23 AM,94231,17.517,FALSE,Product
Carlos,Male,01/04/1995,7:02 AM,146670,10.763,FALSE,Human Resources
Lois,Female,12/25/1987,4:16 PM,106317,2.235,TRUE,Client Services
Carolyn,Female,04/09/2011,5:38 AM,109260,2.65,TRUE,Business Development
Gloria,Female,6/29/2007,5:34 AM,134148,8.833,TRUE,Legal
Henry,Male,4/24/1995,4:18 AM,43542,19.687,FALSE,Legal
Adam,Male,5/21/2011,1:45 AM,95327,15.12,FALSE,Distribution
Ashley,Female,5/25/2006,11:30 AM,112238,6.03,TRUE,Engineering
Shirley,Female,2/28/1981,1:23 PM,113850,1.854,FALSE,Marketing
Adam,Male,12/24/1990,8:57 PM,110194,14.727,TRUE,Product
Elizabeth,Female,10/09/2003,5:53 PM,146129,5.687,FALSE,Finance
Jennifer,Female,04/04/2009,10:47 PM,71715,13.079,TRUE,Client Services
Patricia,Female,11/25/1992,2:24 AM,95322,4.15,FALSE,Product
Philip,Male,7/17/2008,1:30 PM,89227,3.996,FALSE,Legal
Sean,Male,05/04/1996,8:59 PM,135490,19.934,FALSE,Marketing
Ruth,Female,8/19/1999,4:03 AM,129297,8.067,TRUE,Client Services
Rebecca,Female,11/15/1980,4:13 AM,85730,5.359,TRUE,Product
Marie,Female,3/16/2003,12:12 AM,104058,17.695,TRUE,Business Development
Howard,Male,4/27/1992,1:10 AM,105062,1.563,FALSE,Human Resources
Norma,Female,2/28/1999,8:45 PM,114412,8.756,TRUE,Marketing
Kathy,Female,3/18/2000,7:26 PM,149563,16.991,TRUE,Finance
Arthur,Male,4/13/1998,11:28 AM,89786,14.422,TRUE,Legal
Terry,Male,09/03/1990,9:15 PM,52226,19.135,FALSE,Client Services
Mary,Female,8/13/1999,1:03 AM,134645,18.197,FALSE,Business Development
Christopher,Male,12/24/2011,12:22 PM,142178,17.984,TRUE,Sales
Michelle,Female,11/04/1996,9:34 PM,53754,5.455,TRUE,Product
